CustomerID,Age,Average_Spend,Visits_per_Month,Promotion_Interest,Cluster,Cluster Group
59,51,46.391462078279154,2.1545079292009017,1,0,Daily
60,64,43.249372792886355,2.3823627976325144,10,0,Daily
61,54,24.977602829528188,3.6017326998218326,1,0,Daily
62,26,35.80521452357671,6.607349632314929,3,2,Weekend
63,37,5.15631366025794,5.179141990956681,1,1,Promotion
64,32,13.357859361101946,4.1562620227217195,7,1,Promotion
65,60,15.198127253977018,5.352666676502231,3,1,Promotion
66,27,48.29177570200506,5.623093024429998,5,2,Weekend
67,28,36.56450875093755,4.829645687284714,7,2,Weekend
68,21,33.489859750237045,5.726725192717178,3,2,Weekend
69,51,44.33788094874587,3.889882392359824,6,0,Daily
70,60,41.84491062555,1.3483612929830293,7,0,Daily
71,20,27.984099308444883,5.06390674147039,1,2,Weekend
72,34,45.54277645453232,2.7076008908278917,2,2,Weekend
73,60,13.673206009120227,5.004948851033826,7,1,Promotion
74,40,26.179206513061565,1.7653381123336513,5,1,Promotion
75,54,39.436393518953054,4.436136040584878,6,0,Daily
76,18,33.482906659340685,2.960527833742181,9,2,Weekend
77,30,16.57150606871609,5.371173446411007,4,1,Promotion
78,29,23.857999982217045,4.532381248544821,8,2,Weekend
79,25,39.78885644434443,6.476547346240969,8,2,Weekend
80,42,13.295340654625253,5.887429720203244,5,1,Promotion
81,20,45.65253301415253,2.8252111414222707,4,2,Weekend
82,18,12.393051727803329,6.02310017394781,6,2,Weekend
83,43,21.683475005414277,1.3464912000378222,3,1,Promotion
84,27,5.280593335465805,3.819018033510895,10,1,Promotion
85,36,20.49021897812817,1.8280466936344144,8,1,Promotion
86,56,33.25950091230939,2.7863767257557743,6,0,Daily
87,47,22.122888139415785,3.002958595070489,7,1,Promotion
88,36,34.49794988478668,2.8432058549494355,3,2,Weekend
89,48,26.22830343185562,4.317836905471568,4,1,Promotion
90,23,35.890265341361925,1.0383420069726321,6,2,Weekend
91,33,30.340457894513705,2.9810873728016825,6,2,Weekend
92,34,29.87822118782791,4.926350230643997,6,2,Weekend
93,54,43.26694419306744,4.024595394438822,7,0,Daily
94,43,33.474048794738636,4.193611474542582,8,0,Daily
95,41,9.471282801962797,4.587535627243436,7,1,Promotion
96,46,38.37215340090145,3.6257873596529873,2,0,Daily
97,25,33.02422527399848,2.7574671090716043,10,2,Weekend
98,62,26.10455760073579,1.8332540363940715,5,0,Daily
99,20,36.898588252688654,1.5577460553555944,8,2,Weekend
100,53,38.64824184944343,2.1301387879018785,2,0,Daily
